"code","iso","country","PACOVD.1990","PACOVD.1991","PACOVD.1992","PACOVD.1993","PACOVD.1994","PACOVD.1995","PACOVD.1996","PACOVD.1997","PACOVD.1998","PACOVD.1999","PACOVD.2000","PACOVD.2001","PACOVD.2002","PACOVD.2003","PACOVD.2004","PACOVD.2005","PACOVD.2006","PACOVD.2007","PACOVD.2008","PACOVD.2009","PACOVD.2010","PACOVD.2011","PACOVD.2012"
180,"COD","Dem. Rep. Congo",9.937174956,9.937174956,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,9.96903821,10.13099015,10.13099015,10.13099015,10.17555957
208,"DNK","Denmark",4.38821999,4.38821999,11.8142113,11.82379043,11.82379043,11.85899142,11.85899142,11.93688002,11.94213459,11.94787742,11.95945608,11.98526394,12.01521036,12.03278761,12.07263867,12.06159476,12.07263867,12.16680249,12.31713909,12.4815189,12.7062798,12.7062798,12.7062798
262,"DJI","Djibouti",0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526,0.000871526
212,"DMA","Dominica",13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895,13.61006895
214,"DOM","Dominican Republic",11.72166022,11.72166022,12.50263091,12.50263091,12.50263091,12.5247559,12.5247559,12.67725289,12.67725289,12.67725289,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274,12.88202274
218,"ECU","Ecuador",15.33678631,15.33678631,15.33678631,15.33678631,15.33678631,15.58305061,15.58305061,15.60130632,15.60130632,15.60130632,15.60130632,15.60130632,15.60130632,15.60130632,15.60130632,15.60130632,15.60130632,15.60130632,15.61424375,15.61424375,15.61424375,15.61424375,15.61424375
818,"EGY","Egypt",0.333076631,0.333076631,0.334352616,0.334352616,0.334352616,1.388172385,1.388172385,3.946403731,4.30509424,4.310938454,4.310938454,4.310938454,5.41151092,5.902895763,5.907682732,5.902895763,5.907682732,11.16757423,11.16757423,11.16757423,11.18847912,11.18847912,11.18847912
222,"SLV","El Salvador",0,0,0,0,0,0,0,0.078335017,0.078335017,0.078335017,0.078335017,0.078335017,0.078335017,0.078335017,0.078335017,0.078335017,0.078335017,0.2969205,0.611677733,0.723878106,0.943196606,0.94485811,0.94485811
226,"GNQ","Equatorial Guinea",7.182155614,7.182155614,7.182155614,7.182155614,7.182155614,7.182155614,7.182155614,7.182155614,7.182155614,7.182155614,17,17,17,17,17,17,17,17,17,17,17,17,17
232,"ERI","Eritrea",4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527,4.807582527
233,"EST","Estonia",2.182207631,2.182207631,2.264028541,2.26466932,2.26466932,3.188695413,3.188695413,4.637696659,5.457275697,5.795099053,6.063497268,6.522427944,6.747363634,6.808988943,12.57408184,10.06905393,12.57408184,16.80289491,17,17,17,17,17
